Year,Deaths,Place
1974,21,"Birmingham Pub Bombings, England"
1978,421,"Cinema Rex Fire, Iran"
1985,329,"Air India Flight 182 Bombing, India"
1988,270,"Pan Am Flight 103, Scotland"
1990,740,"1990 massacre of Sri Lankan Police officers, Sri Lanka"
1993,250,"Bombay Bombings, India"
1997,800,"Rais massacre, Algeria"
1999,367,"Russian apartment bombings, Russia"
2001,2996,"9/11, United States"
2008,860,"2008 Christmas massacres, Democratic Republic of the Congo"
2014,1700,"Camp Speicher massacre, Iraq"
2015,2000,"Baga massacre, Nigeria"
2016,342,"Baghdad Bombing, Iraq"
2017,587,"Suicide truck bombing, Somalia"
2018,255,"Suicide bombing, Syria"
2019,51,"Christchurch shooting, NZ"
2019,500,"Suicide bombing, Sri Lanka"
